$(OWNED)	(ЕСТЬ)
$ATHENA_SHARES_PROGRESSION	ОБЩИЙ ПРОГРЕСС С РЕЖИМОМ ПРИКЛЮЧЕНИЯ
$ATHENA_SCROLL_SETTINGS	ПРОСМОТР НАСТРОЕК МИРА
$ATHENA_SELECT_TEMPLATE	ВЫБОР ШАБЛОНА МИРА
$ATHENA_SET_ACTIVE_TEMPLATE	СДЕЛАТЬ МИР АКТИВНЫМ
$ATHENA_HEADER_CUSTOM	ЛИЧНЫЕ ЗАКРЫТЫЕ МИРЫ
$ATHENA_HEADER_SHARED	ОБЩИЕ МИРЫ
$ATHENA_HEADER_STANDARD	ОБЫЧНЫЕ МИРЫ
$AthenaSettingsDisclaimer	Настройки мира могут повлиять на производительность игры
$ATHENA_TEMPLATES	ШАБЛОНЫ МИРОВ
$Athena_Template_Yours	Ваш мир
$Athena_Template_Shared	Общий мир
$Athena_Template_Standard	Обычный мир
$Athena_Template_Public	Открытый мир
$Athena_Tooltip	Если владелец удаляет мир, прогресс персонажа в личных закрытых мирах не сохраняется.
$Athena_Tooltip_Shared	Создатель этого мира открыл его для вас. Изменить его вы не можете.
$Athena_Tooltip_Standard	Обычные миры нельзя менять.
$Athena_Tooltip_Public	После окончания эксклюзивного события прогресс персонажа в открытых мирах не сохраняется.
$Athena_Tooltip_Challenges	Некоторые испытания S.C.O.R.E., в том числе повторяющиеся, невозможно завершить.
$Athena_Tooltip_Score	НЕВОЗМОЖНО ПОЛУЧИТЬ ОЧКИ S.C.O.R.E.
$Athena_Tooltip_Rewards	НЕКОТОРЫЕ НАГРАДЫ УЧЕТНОЙ ЗАПИСИ НЕВОЗМОЖНО ПОЛУЧИТЬ
$Athena_Tooltip_Rewards_BNET	Некоторые награды учетной записи, в том числе предметы Атомной лавки и атомы недоступны для получения.
$Athena_Tooltip_Rewards_Achievements	Некоторые награды учетной записи, в том числе достижения, предметы Атомной лавки и атомы недоступны для получения.
$Athena_Tooltip_Rewards_Trophies	Некоторые награды учетной записи, в том числе призы, предметы Атомной лавки и атомы недоступны для получения.
$AthenaUnlinkMenu_ConfirmChanges1	После отвязки выбранных миров прогресс этого персонажа будет удален. Это изменение нельзя будет отменить.
$AthenaUnlinkMenu_ConfirmChanges2	Подтвердить отвязку?
$AthenaUnlinkMenu_UnsavedChanges	Есть несохраненные изменения. Все равно вернуться в предыдущее окно?
$ATHENA_UNLINK_HEADER	ВЫБЕРИТЕ МИРЫ ДЛЯ ОТВЯЗКИ
$Athena_Unlink_Tooltip	Отвязав миры, вы освободите место для новых.
$ATOMPACKSNOTREADY	ОШИБКА КАТАЛОГА
$ATOMPACKSNOTREADYBODY	Не удалось найти каталог. Пожалуйста, попробуйте позже.
$Atoms	Атомы
$ATOMS	Атомы
$AtomsGlyph	¢
$ATOMSGLYPH	¢
$Attach	ПРИКРЕПИТЬ
$ATTACH MOD	ПРИКРЕПИТЬ МОДИФИКАЦИЮ
$ATTACH WIRE	ПРОВОДКА
$Attach_Question	Прикрепить
$AttachRandomLegendaryMod	В доступные ячейки будет добавлен случайный легендарный модуль.
$AttachLegendaryMod	Произойдет замена текущего легендарного модуля, а стоимость изготовления увеличится.
$AttachLegendaryModNoTrade	Этот предмет будет запрещено продавать.
$ATTACKINGPLAYER	АТАКА
$AttemptsRemaining:	Осталось попыток:
$Audio	Аудио
$AUDIO	АУДИО
$Auto	Авто
$Auto Attempt	Авт. попытка
$AUTO BUILD	АВТ. СТРОИТЕЛЬСТВО
$AUTO COOK	АВТ. ГОТОВКА
$AutoFillHint_Off	СОБРАТЬ КОМАНДУ [ВЫКЛ.]
$AutoFillHint_On	СОБРАТЬ КОМАНДУ [ВКЛ.]
$AutoMove	Авт. передвижение
$AutoScrollPipboyItemStats	Автопрокрутка характеристик предмета в пип-бое
$AutoTrackMainQuests	Основные задания. Активны на момент начала
$AutoTrackMiscQuests	Мелкие задания. Активны на момент начала
$AutoTrackSideQuests	Дополнительные задания. Активны на момент начала
$AutoTrackEventQuests	Задания события. Активны на момент начала
$AutoTrackOtherQuests	Ежедневные задания. Активны на момент начала
$AVAILABLE	ДОСТУПНО
$AVAILABLE MODS	МОДИФИКАЦИИ
$AVAILABLE RECIPES	ДОСТУПНЫЕ РЕЦЕПТЫ
$AwaitingTeamLeaderToTravelToInstancedCell	Отсутствует лидер команды. Дождитесь его или покиньте команду и попробуйте снова.
$BabylonDeathLine0	Похоже, кто-то вас одолел. Ничего, в следующий раз повезет!.. Или нет. Скорее нет.
$BabylonDeathLine1	Похоже, все пошло не по плану. А был ли вообще план?
$BabylonDeathLine2	"У меня вообще есть соратники?" — бормотали вы на последнем издыхании.
$BabylonDeathLine3	Вы очень неплохо держались эту минуту или две.
$BabylonDeathLine4	"Как можно было поймать столько пуль?" — думали те, кто обыскивал ваш труп.
$BabylonDeckIsFull	Ваша колода заполнена. Уберите карты, чтобы изменить ее.
$BabylonFastQuitMsg	Вы уверены, что хотите покинуть матч?
$BabylonFavorite	ИЗБРАННОЕ NW
$BabylonInsufficientTickets	Не хватает билетов Смотрителя
$BabylonJoinWorldWithInvalidTeammate	Игрок {1} все еще в игре. Все игроки должны выйти в главное меню.
$BabylonPerkMenuDeckFull	ВАША КОЛОДА ЗАПОЛНЕНА
$BabylonPerkMenuDeckFullMsg	Уберите карты, чтобы изменить колоду.
$BabylonPerkMenuNeedMoreSpecial	Для использования этой карты вам не хватает очков S.P.E.C.I.A.L.
$BabylonPerkMenuSlot	ЯЧЕЙКА {0}
$BabylonPerkMenuUnownedCard	Приобрести эту карту за билеты Смотрителя.
$BabylonPerkTutorialDesc1	ZAX дал вам 7 карт способности Nuclear Winter, чтобы помочь вам стать Смотрителем!
$BabylonPerkTutorialDesc2	Участвуйте в матчах Nuclear Winter, получайте новые карты способности и повышайте свой ранг Смотрителя!
$BabylonPerkTutorialDesc3	Выполняйте испытания, чтобы получить новые карты способности Nuclear Winter!
$BabylonPerkTutorialDesc4	Используйте 7 карт, которые лучше всего соответствуют вашим способностям! ZAX не разрешает использовать больше 7 карт.
$BabylonPerkTutorialDesc5	Использование карт зависит от параметров S.P.E.C.I.A.L. Увеличивайте их, чтобы использовать самые мощные карты!
$BabylonPerkTutorialDesc6	После начала матча вы не сможете поменять карты, так что выбирайте внимательно!
$BabylonPerkTutorialTitle1	Карты способностей NW
$BabylonPerkTutorialTitle2	Ранги Смотрителя
$BabylonPerkTutorialTitle3	Испытания
$BabylonPerkTutorialTitle4	Использовать 7 карт
$BabylonPerkTutorialTitle5	Вы — это S.P.E.C.I.A.L.!
$BabylonPerkTutorialTitle6	Приготовьтесь!
$BabylonUnfavorite	УДАЛЕНИЕ ИЗ ИЗБРАННОГО NW
$BabylonVictoryLine0	Вы вознеслись на высший уровень бытия. Здесь вам открыты двери и даже стулья.
$BabylonVictoryLine1	Не выбрасывайте свой четырехлистный клевер. Сперва вы пережили ядерную катастрофу, а теперь и это. Так держать!
$BabylonVictoryLine2	На пути к славе иногда приходится ранить чьи-нибудь чувства. Или убивать врагов...
$BabylonVictoryLine3	Переведя дух после кровавой расправы, вы вдруг вспоминаете, что не выключили духовку в Убежище.
$BabylonVictoryLine4	После убийства всегда мучит жажда. Расслабьтесь с бутылочкой Ядер-колы — вы это заслужили!
$Back	Назад
$BACK	Назад
$BackpackVisible	Отображение рюкзака
$BackToStart_BnetSessionFailure	Ошибка подключения к Bethesda.net. Повторите попытку.
$BackToStart_BpsSessionInvalid	Идентификатор соединения недействителен или истек. Повторите попытку.
$BackToStart_CannotLoadCharacter	Не удалось загрузить персонажа.  
$BackToStart_LoginFailure	Не удалось войти в учетную запись платформы.
$BackToStart_QuickPlayFailure	Не удалось присоединиться к быстрой игре.
$BackToStart_WorldReconnectFail	Не удалось заново подключиться к миру.
$BadUrlErrorMessage	Не удалось подключиться к службе Atoms.
$BEARD	БОРОДА
$BEDS	МЕСТА
$BEINGCLAIMED	МАСТЕРСКАЯ ЗАХВАТЫВАЕТСЯ
$BEINGCONTESTED	МАСТЕРСКАЯ ПОД АТАКОЙ
$BESTBUILDSACTIONFAILURE	Что-то пошло не так. Повторите попытку позже.
$BestBuildsCreated	Создано:
$BestBuildsCurrentSelectionsTooltip	Сейчас выбрано: {1}
$BestBuildsFeaturedPhotoTooltip	Значком в виде звезды отмечен выбранный снимок для этой постройки.
$BESTBUILDSEXITHEADER	Вы действительно хотите выйти?
$BESTBUILDSEXITMSG	Прогресс не будет сохранен.
$BESTBUILDSREMOVEPHOTOTOOLTIP	Убрать этот снимок?
$BESTBUILDSREMOVEPHOTOBODY	Снимок станет недоступен.
$BESTBUILDSSUBMITFAR	Вы должны находиться в своей C.A.M.P., чтобы отправить ее как лучшую постройку.
$BESTBUILDSMANAGEFAR	Вы должны находиться в своей C.A.M.P., чтобы работать с ней как с лучшей постройкой.
$BESTBUILDSSUBMITQ	Отправить лучшую постройку?
$BESTBUILDSSUBMITSUCCESS	Лучшая постройка получена!
$BESTBUILDSSUBMITMSG	Отправленную лучшую постройку можно редактировать. Чтобы показать изменения C.A.M.P., ее нужно отправить повторно.
$BESTBUILDSMANAGEQ	Отправить лучшую постройку повторно?
$BESTBUILDSMANAGEMSG	Предыдущая информация о лучшей постройке будет перезаписана. Общий рейтинг не будет обнулен.
$BESTBUILDDEACTIVATEQ	Отключить лучшую постройку?
$BESTBUILDDEACTIVATESUCCESS	Отправленная лучшая постройка отключена.
$BESTBUILDDEACTIVATEMSG	Другие игроки не смогут видеть и просматривать вашу лучшую постройку. Чтобы она стала активной, вам придется заново отправить ее как лучшую постройку.
$BESTBUILDSMANAGE	УПРАВЛЕНИЕ ЛУЧШИМИ ПОСТРОЙКАМИ
$BESTBUILDSREPORTSUCCESS	Жалоба на лучшую постройку отправлена.
$BESTBUILDSREPORTDUPLICATE	Вы уже пожаловались на эту лучшую постройку.
$BestBuildsName	ЛУЧШАЯ ПОСТРОЙКА
$BestBuildsNameLC	ЛУЧШАЯ ПОСТРОЙКА
$BestBuildNotifLike	Вам нравится эта лучшая постройка?
$BestBuildNotifLikeUpdate	Ваши лучшие постройки недавно похвалили!
$BestBuildNotifNearby	Рядом лучшая постройка!
$BestBuildsReorderTagsTooltip	Поменяйте порядок тегов, чтобы переименовать лучшую постройку.
$BestBuildsRequirementsTooltip	Чтобы отправить лучшую постройку, нужен хотя бы один тег. Снимки желательны, но не требуются.
$BESTBUILDSSUBMIT	ОТПРАВИТЬ КАК ЛУЧШУЮ ПОСТРОЙКУ
$BESTBUILDSTITLE	ПОСТРОЙКА: {1}
$BestBuildsTutorial01	Постройте свою C.A.M.P.
$BestBuildsTutorial02	Отправьте свою C.A.M.P. как лучшую постройку с помощью меню ячеек C.A.M.P. на карте.
$BestBuildsTutorial03	Исследуйте Аппалачию, ищите лучшие постройки и хвалите их.
$BestBuildsTutorialHeader	Лучшие сочетания способностей
$BestBuildsTutorialSubHeader	Поделитесь со всей Пустошью своей C.A.M.P., добавив ее в лучшие постройки!
$BestBuildsUpdated	Обновлено:
$BestBuildsViewingTooltip	Похвалите эту лучшую постройку и поддержите {1}!
$Best_Choice	Лучший выбор
$BestTime	Лучшее время
$BETHESDA.NET	BETHESDA.NET
$Bethesda_Game_Studios	Bethesda Game Studios
$BLASTZONE	ЗОНА ЯДЕРНОГО ВЗРЫВА
$BLASTZONEDESCRIPTION	Вы вошли в зону ядерного взрыва. Покиньте ее немедленно!
$Block	БЛОКИРОВАТЬ
$Blocked	Заблокировано
$BLUEPRINT	ЧЕРТЕЖ
$BLUEPRINT BUDGET	БЮДЖЕТ ЧЕРТЕЖА
$BlueprintNameInvalid	Не удается создать чертеж, название чертежа слишком длинное или содержит недопустимые символы.
$BLUEPRINTS	ЧЕРТЕЖИ
$BlueprintTooBig	Требуемый чертеж перегружен объектами.
$BNETGeneralError_BNET_CANNOT_CONNECT	Не удалось подключиться к серверам Bethesda.net.
$BNetLauncherDeprecation_DigitalRiverDisabled	Приобретение товаров за атомы и продление подписки Fallout 1st недоступны. Нажмите ниже, чтобы начать перенос учетной записи Bethesda.net в Steam.
$BNetLauncherDeprecation_LoginDisabled	Продолжайте свои приключения в Fallout 76 в Steam! Нажмите ниже, чтобы начать перенос учетной записи Bethesda.net в Steam.
$BOAST	ПОХВАСТАТЬСЯ
$BODY	ТЕЛО
$BODY PART	ЧАСТЬ ТЕЛА
$BODY_LARGE	ПОЛНОЕ
$BODY_MUSCULAR	МУСКУЛИСТОЕ
$BODY_THIN	ХУДОЕ
$BONUS	БОНУС
$BONUS!	БОНУС!
$BONUSXP	ДОП. ОПЫТ
$BondLabel	СВЯЗЬ
$BondsLabel	СВЯЗИ
$BOOST	УСИЛЕНИЕ
$BOOSTAD	Нажмите {1}, чтобы перейти к повышению до 50-го уровня в Атомной лавке! Оно открывает новые материалы и позволяет играть за гуля. 
$BOOSTPERKAD	Нажмите {1}, чтобы перейти к повышению до 50-го уровня в Атомной лавке! Оно открывает новые материалы и позволяет играть за гуля.
$BOUNTY	НАГРАДА
$BOUNTY TARGET	ОБЪЕКТ НАГРАДЫ
$BountyPlayerPlaced	{1} назначил за вас награду — крышки ({2})!
$BRAHMINNAME	ИМЯ БРАМИНА
$BrahminNameChanged	Имя брамина изменено на {1} {2}
$Brightness	Яркость
$BUDGET	БЮДЖЕТ
$Buid	Buid
$BUILD	СОЗДАТЬ
$Build	СОЗДАТЬ
$Build Mod?	Создать модификацию?
$BUILD WITH	СОЗДАТЬ С ПОМОЩЬЮ
$BuildBaseBot	ПОСТРОИТЬ РОБОТА НА БАЗЕ
$BuildConfirm1	Создать деталь с помощью:
$BuildConfirm2	Убрать деталь?
$BuildConfirm3	Прикрепить деталь?
$BuildConfirm4	Снять деталь?
$BUILT:	ПОСТРОЕНО:
$BULKRANKUP	ПОВЫСИТЬ РАНГ ДО {1}
$BULKRANKUPBUTTON	ПОВЫСИТЬ РАНГ ДО НАГРАДЫ
$BULKRANKUPCONFIRMHEADER	Вы действительно хотите повысить ранг S.C.O.R.E. за ¢{1}?
$BULKRANKUPCONFIRMDESC	После повышения ранг S.C.O.R.E. нельзя будет сбросить.
$BulkRankUpDescLine1	Повысьте свой ранг и займите указанную позицию на игровом поле, чтобы получить доступ к наградам за все предыдущие уровни!
$BulkRankUpDescLine2	Все награды автоматически станут доступны, а ранг S.C.O.R.E. подстроится под новый уровень.
$BundleAdjustment	Скидка за имеющееся
$BundleCategory	НАБОРЫ
$BundleCategoryGoneMessage	Наборы с предметами закончились.
$BundleLTOAdjustment	Временная скидка
$BundleZeusDiscount	Скидка ¼
$BundleNewCost	Ваша цена
$BundleOriginalCost	Исходная цена	
$ButtonReservedError	Для этой кнопки уже есть назначение.
$ButtonReservedError_PS4	Для этой кнопки уже есть назначение.
$BUY	КУПИТЬ
$BUYITEM	КУПИТЬ ПРЕДМЕТ
$CALLFORHELP	ПОЗВАТЬ НА ПОМОЩЬ
$CAMERA	КАМЕРА
$Camera Speed	Скорость движения камеры
$Camp	C.A.M.P.
$Camp blueprint	ЧЕРТЕЖ C.A.M.P.
$CAMP_And_QUICKCAMP_Not_Placed_On_Load	Не удается разместить вашу платформу C.A.M.P и палатку для выживания. Хотите остаться в этом мире и бесплатно переместить C.A.M.P.? Или найти другой мир?
$CAMP_And_QUICKCAMP_Not_Placed_On_Load_Private	Невозможно разместить C.A.M.P. и палатку для выживания. Вам было предоставлено одно бесплатное размещение C.A.M.P.
$CAMP_Not_Placed_On_Load	Не удается разместить вашу платформу C.A.M.P. Хотите остаться в этом мире и бесплатно переместить C.A.M.P.? Или найти другой мир?
$CAMP_Not_Placed_On_Load_Private	Невозможно разместить C.A.M.P. Вам было предоставлено одно бесплатное размещение C.A.M.P.
$CAMP_Not_Placed_On_Load_Restricted_Area	После обновления Fallout 76 вы не можете разместить свою платформу C.A.M.P. в этом месте. Вам предоставлено одно бесплатное размещение C.A.M.P.
$CAMP_BUILDS	ЯЧЕЙКИ C.A.M.P.
$CAMP_SLOTS_ACTIVATE	АКТИВИРОВАТЬ C.A.M.P.
$CAMP_SLOTS_ACTIVE_CAMP	АКТИВНАЯ C.A.M.P.
$CAMP_SLOTS_BLOCKED_CAMP	{1} [ЗАБЛОКИРОВАНА]
$CAMP_SLOTS_BLOCKED_CAMP_SUBHEADER	[ЗАБЛОКИРОВАНО]
$CAMP_SLOTS_DEFAULT_NAME	C.A.M.P. {1}
$CAMP_SLOTS_CHANGE_ICON	СМЕНИТЬ ЗНАЧОК
$CAMP_SLOTS_INVALID_CAMP_NAME	Недопустимое имя для ячейки C.A.M.P.
$CAMP_SLOTS_NEWSLOT	Дополнительные ячейки
$CAMP_SLOTS_PLACE_CAMP_CONFIRM	Вы действительно хотите разместить свою C.A.M.P. [{1}]?
$CAMP_SLOTS_RENAME	ПЕРЕИМЕНОВАТЬ C.A.M.P.
$CAMP_SLOTS_STORED_CAMP	СОХРАНЕННАЯ C.A.M.P.
$CAMP_SLOTS_SWITCH_CAMP_ICON	СМЕНИТЬ ЗНАЧОК C.A.M.P.
$CAMP_SLOTS_TOGGLE_PUBLIC_ON	ЗНАЧОК НА КАРТЕ: ВКЛ.
$CAMP_SLOTS_TOGGLE_PUBLIC_OFF	ЗНАЧОК НА КАРТЕ: ВЫКЛ.
$CAMP_SLOTS_TOOLTIP_ACTIVE	Эта C.A.M.P. в настоящий момент активна. У вас может быть только одна активная C.A.M.P.
$CAMP_SLOTS_TOOLTIP_BLOCKED	Эта C.A.M.P. в настоящий момент активна, но ее невозможно разместить на месте расположения C.A.M.P. другого игрока.
$CAMP_SLOTS_TOOLTIP_STORED	Эта C.A.M.P. сохранена. У вас может быть только одна активная C.A.M.P.
$CAMP_SLOTS_TOOLTIP_UNPLACED	Эта C.A.M.P. активна, но нигде не размещена.
$CAMP_SLOTS_UNPLACED_CAMP	{1} [НЕ РАЗМЕЩЕНА]
$CAMP_SLOTS_UNPLACED_CAMP_SUBHEADER	[НЕ РАЗМЕЩЕНА]
$CAMP_SLOTS_VENDING_HISTORY	ИСТОРИЯ ПРОДАЖ
$CAMP_SLOTS_VENDING_HISTORY_EMPTY	Вы не продали ни одного товара.
$CampDispenserEmpty	{1} — там пусто.
$CampDispenserSuccess	{1} — опустошено вами.
$CampPlaceErrorExpedition	C.A.M.P. нельзя размещать во время экспедиции.
$CANCEL	ОТМЕНА
$Cancel	Отмена
$CANCEL SALE	ОТМЕНИТЬ ПРОДАЖУ
$CancelQuickPlay	ОТМЕНА БЫСТРОЙ ИГРЫ
$CancelTradeInProgress	Отменить сделку?
$CannotActivateWithinInstanceWarning	Это действие в командной области доступно только лидеру.
$CannotAssignDecoratingItem	Нельзя выбрать предмет: превышен бюджет мастерской.
$CannotChangePacifistMode	У вас слишком низкий уровень, чтобы отключить режим пацифиста.
$CannotFermentItem	Этот предмет невозможно подвергнуть дальнейшей ферментации.
$CannotFreezeItem	Этот предмет нельзя заморозить.
$CannotOpenBrowserErrorMessage	Не удается открыть веб-браузер.
$CannotRefrigerateItem	Этот предмет невозможно поместить в холодильник.
$CAP	КРЫШКА
$CAP)	КРЫШКА)
$CAPS	КРЫШКИ
$caps	КРЫШКИ
$CAPS)	КРЫШКИ)
$CapsGlyph)	±)
$Caravan	Караван
$CASINO_AVAILABLE_CHIPS	ДОСТУПНЫЕ ФИШКИ
$CASINO_COLOR_BLACK	ЧЕРНОЕ
$CASINO_COLOR_GREEN	ЗЕЛЕНОЕ
$CASINO_COLOR_RED	КРАСНОЕ
$CASINO_DERBY_LANE_ONE	ПЕРВАЯ ДОРОЖКА
$CASINO_DERBY_LANE_TWO	ВТОРАЯ ДОРОЖКА
$CASINO_DERBY_LANE_THREE	ТРЕТЬЯ ДОРОЖКА
$CASINO_DERBY_LANE_FOUR	ЧЕТВЕРТАЯ ДОРОЖКА
$CASINO_DERBY_LANE_FIVE	ПЯТАЯ ДОРОЖКА
$CASINO_ERROR_CASINO_DISABLED	Азартные игры временно недоступны.
$CASINO_ERROR_CASINO_NOT_AVAILABLE	Азартные игры недоступны в этом регионе.
$CASINO_ERROR_INSUFFICIENT_CAPS	Недостаточно крышек, чтобы сделать ставку в этой азартной игре.
$CASINO_ERROR_PENDING_BET	Вы не сможете начать эту игру, пока не завершится ваша предыдущая игра в казино.
$CASINO_ERROR_UNKNOWN	Не удалось завершить операцию. Попробуйте еще раз.
$CASINO_HEADER_DERBY	ВЫБЕРИТЕ ЛОШАДЬ И СДЕЛАЙТЕ СТАВКУ
$CASINO_HEADER_LUCKY_DICE	ВЫБЕРИТЕ ЧИСЛО И СДЕЛАЙТЕ СТАВКУ
$CASINO_HEADER_ROULETTE	ВЫБЕРИТЕ МЕСТО И СДЕЛАЙТЕ СТАВКУ
$CASINO_POSSIBLE_PAYOUT	ВОЗМОЖНЫЙ ВЫИГРЫШ
$CASINO_ROULETTE_BLACK	ЧЕРНОЕ
$CASINO_ROULETTE_EVEN	ЧЕТНОЕ
$CASINO_ROULETTE_FIRST_THIRD	1-я дюжина
$CASINO_ROULETTE_LAST_THIRD	3-я дюжина
$CASINO_ROULETTE_ODD	НЕЧЕТНОЕ
$CASINO_ROULETTE_RED	КРАСНОЕ
$CASINO_ROULETTE_SECOND_THIRD	2-я дюжина
$CASINO_YOUR_BET:	ВАША СТАВКА: {1}
$CATEGORIES	КАТЕГОРИИ
$CENTERONPLAYER	ПО ЦЕНТРУ
$Challenge_AdventureModeOnly_ToolTip	Можно завершить только в режиме приключения.
$Challenge_NotThisMode_ToolTip	Невозможно завершить в этом режиме.
$Challenge_NuclearWinterOnly_ToolTip	Можно завершить только в режиме Nuclear Winter.
$Challenge_SurvivalModeOnly_ToolTip	Можно завершить только в режиме выживания.
$Challenge_ScoreBoost_ToolTip_Boost	Отображаемое количество очков S.C.O.R.E. увеличено.
$Challenge_ScoreBoost_ToolTip_Event	Отображаемое количество очков S.C.O.R.E. включает дополнительный бонус за особое событие.
$Challenge_ScoreBoost_ToolTip_BoostAndEvent	Отображаемое количество очков S.C.O.R.E. увеличено и включает дополнительный бонус за особое событие.
$ChallengeComplete_FlyoutTitle	ИСПЫТАНИЕ ПРОЙДЕНО!
$ChallengeComplete_HUDTitle_Daily	ЕЖЕДНЕВНОЕ ИСПЫТАНИЕ ПРОЙДЕНО!
$ChallengeComplete_HUDTitle_Lifetime	ПОЖИЗНЕННОЕ ИСПЫТАНИЕ ПРОЙДЕНО!
